½ÃÁ¡,½Ã±º»êÁö,ÀÏÀÚ,Ç°Á¾,µµ¸Å°¡°Ý.¿ø.kg.,°Å·¡·®.Åæ.,°Å·¡±Ý¾×.¹é¸¸¿ø.,¸¶´Ã.¸éÀû..ha.,X10a´ç.»ý»ê·®..kg.,»ý»ê·®..Åæ.,X10a´ç.»ý»ê·®.Åæ,Æò±Õ,Æò±Õ±â¿Â..C.,ÀÏ°­¼ö·®.mm.,Æò±Õ.Ç³¼Ó.m.s.,ÇÕ°è.ÀÏÁ¶½Ã°£.hr.,Æò±Õ.Áö¸é¿Âµµ..C.,Æò±Õ.5cm.ÁöÁß¿Âµµ..C.
2015,Ã¶¿ø,2015-07-11,±âÅ¸,5833,0.02,0.11,307,777,2385,0.777,0.02,19.655,6.984375,1.670718232,6.382320442,21.77016575,22.15418994
2015,Ã¶¿ø,2015-07-10,±âÅ¸,6875,0.02,0.11,307,777,2385,0.777,0.02,19.63555556,6.984375,1.661325967,6.392265193,21.73425414,22.11564246
2015,ÆòÃ¢,2015-08-06,ÇÞ¸¶´Ã ÇÑÁö,10000,0.01,0.1,307,777,2385,0.777,0.01,19.21491713,7.308474576,1.570165746,6.32320442,21.66077348,22.07094972
2015,È«Ãµ,2015-09-21,ÀúÀåÇü ÇÑÁö,3125,0.04,0.13,307,777,2385,0.777,0.04,15.5480663,7.444285714,1.483425414,4.768508287,17.2038674,17.88826816
2016,°­¸ª,2016-07-02,ÇÞ¸¶´Ã ÇÑÁö,2500,0.04,0.1,180,807,1452,0.807,0.04,20.02707182,11.75526316,1.431491713,6.052486188,23.00055249,22.60773481
2016,»ïÃ´,2016-07-13,ÇÞ¸¶´Ã ÇÑÁö,3980,1.75,6.97,180,807,1452,0.807,2.238181818,20.3,12.272,1.389502762,5.949723757,23.38176796,23.02320442
2016,»ïÃ´,2016-07-11,ÇÞ¸¶´Ã ÇÑÁö,3121,3.82,11.92,180,807,1452,0.807,2.238181818,20.29060773,12.18289474,1.39558011,5.925966851,23.33922652,22.96906077
2016,»ïÃ´,2016-07-04,ÇÞ¸¶´Ã ÇÑÁö,2523,2.56,6.46,180,807,1452,0.807,2.238181818,20.1038674,11.87866667,1.423756906,6.00441989,23.07955801,22.69723757
2016,»ïÃ´,2016-06-14,ÇÞ¸¶´Ã ÇÑÁö,4683,1.45,6.8,180,807,1452,0.807,2.238181818,18.99668508,11.55066667,1.517679558,6.39281768,21.82486188,21.26740331
2016,»ïÃ´,2016-06-29,ÇÞ¸¶´Ã ÇÑÁö,3847,1.94,7.46,180,807,1452,0.807,2.238181818,19.93314917,12.06486486,1.438121547,6.180662983,22.88287293,22.44972376
