지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s),합계 일조시간(hr),평균 지면온도(°C),평균 5cm 지중온도(°C)
217,정선군,2021-01-01,-5.5,,1.9,6.1,-5.2,-2.8
217,정선군,2021-01-02,-4.5,,2.4,6.1,-4.6,-2.3
217,정선군,2021-01-03,-5.4,,2.9,5,-7,-3
217,정선군,2021-01-04,-3.8,,1.5,6.2,-3.8,-2.6
217,정선군,2021-01-05,-4.6,,2.7,5.8,-3.1,-1.6
217,정선군,2021-01-06,-9.9,.7,1.9,6.2,-8.7,-4.1
217,정선군,2021-01-07,-13.7,.7,5.9,6.3,-7.9,-3.4
217,정선군,2021-01-08,-14.3,,3.5,6.3,-10.5,-4.8
217,정선군,2021-01-09,-12.9,,3.7,6.1,-11.6,-5.7
217,정선군,2021-01-10,-10.5,,1.7,6.4,-9.4,-5.5
217,정선군,2021-01-11,-10.5,,1,0,-10.4,-5.4
217,정선군,2021-01-12,-6.9,1,2.1,6.2,-5.8,-4.8
217,정선군,2021-01-13,1.5,,3.4,2.1,1.2,-1.7
217,정선군,2021-01-14,-.5,,.8,6.3,-1.1,-1.4
217,정선군,2021-01-15,1.8,.2,3,.1,-.4,-1.5
217,정선군,2021-01-16,-2.3,,2.6,4.6,-1.9,-.8
217,정선군,2021-01-17,-6.5,0,2.7,6.4,-5.9,-2.8
217,정선군,2021-01-18,-5.3,3.8,3.7,0,-3.3,-2.3
217,정선군,2021-01-19,-9.8,,.9,6.4,-4.7,-2.3
217,정선군,2021-01-20,-6.8,,.6,6.4,-6.5,-3
217,정선군,2021-01-21,-.5,1.6,.9,1.9,-1.6,-2.2
217,정선군,2021-01-22,5.3,.3,1.1,2.5,5.2,-.3
217,정선군,2021-01-23,4.3,,2.8,0,2.9,-.1
217,정선군,2021-01-24,3.5,,1.5,3.5,4.1,.2
217,정선군,2021-01-25,2.8,,1,4.4,3.9,.4
217,정선군,2021-01-26,1.8,1.6,1,0,2.2,0
217,정선군,2021-01-27,.9,,1.1,5.2,-.2,.2
217,정선군,2021-01-28,-4.4,3.6,4.5,2.3,-2.6,-.2
217,정선군,2021-01-29,-9.1,,2.9,7.6,-3.4,-.3
217,정선군,2021-01-30,-5.5,1,1.6,.7,-4.7,-.5
217,정선군,2021-01-31,-2.7,,1,7.5,-2.5,-1
217,정선군,2021-02-01,3.4,6.9,3,1.2,2.8,-.3
217,정선군,2021-02-02,-4.1,,4.7,7.6,-1.1,-.4
217,정선군,2021-02-03,-4.2,.4,2.8,7.7,-1.5,-1.4
217,정선군,2021-02-04,-1.9,1.5,3.1,7.6,-.1,-.8
217,정선군,2021-02-05,-.9,,1.7,5.3,.5,-1.5
217,정선군,2021-02-06,3.8,,2.2,1.2,1.9,-.6
217,정선군,2021-02-07,4.2,,2.7,6.2,3.4,-.2
217,정선군,2021-02-08,-2.6,,3,7.7,-.8,-.1
217,정선군,2021-02-09,-2,,2.4,7.7,-.3,-.5
217,정선군,2021-02-10,-.2,,1.8,5.8,.7,-.9
217,정선군,2021-02-11,2.1,,.8,7.1,3.3,-.4
217,정선군,2021-02-12,2.9,,.7,7.2,3.3,0
217,정선군,2021-02-13,2.9,,.7,7.6,3.7,.1
217,정선군,2021-02-14,5.2,0,.6,.6,3.8,.2
217,정선군,2021-02-15,1.5,.3,4.4,1.4,2.1,.3
217,정선군,2021-02-16,-5.6,.1,2.4,2.4,-3.9,-.2
217,정선군,2021-02-17,-9,,6.2,7.4,-5.1,-1.2
217,정선군,2021-02-18,-7.2,,2,7.6,-3.3,-2.3
217,정선군,2021-02-19,0,,3.2,7.6,.8,-1.9
217,정선군,2021-02-20,7,,3.3,5.2,7,.1
217,정선군,2021-02-21,9.5,,2.8,7.3,7.7,.8
217,정선군,2021-02-22,9.9,,4.1,7.3,8.4,1.8
217,정선군,2021-02-23,1.2,,2,7.7,2.3,1
217,정선군,2021-02-24,1,,1,6.7,4.7,1
217,정선군,2021-02-25,1.4,,.7,0,1.8,0
217,정선군,2021-02-26,4.1,,1.8,6.4,5,1.6
217,정선군,2021-02-27,4.3,,2,2.6,7.2,2.2
217,정선군,2021-02-28,5.3,0,1.4,5.7,5.4,2.4
217,정선군,2021-03-01,3,81.8,2,0,2,2.1
217,정선군,2021-03-02,-.8,2.1,2.2,1.1,-.2,.1
217,정선군,2021-03-03,-.1,,1.2,5.7,-.7,0
217,정선군,2021-03-04,2,,.9,.5,-.8,0
217,정선군,2021-03-05,4.2,,1,5.8,-.3,.4
217,정선군,2021-03-06,1.2,,2.2,0,.4,.2
217,정선군,2021-03-07,4.4,,1.2,5.5,9.2,3.2
217,정선군,2021-03-08,3.8,,1.2,6.4,8.7,4.1
217,정선군,2021-03-09,5.8,,1.6,6.5,7.7,4.8
217,정선군,2021-03-10,6.1,,1.1,8.1,9.3,5.5
217,정선군,2021-03-11,7.4,,.9,8,9.6,6.1
217,정선군,2021-03-12,6.8,2.5,2.2,0,6.2,5.5
217,정선군,2021-03-13,8.6,,1.7,5.9,9.6,7.2
217,정선군,2021-03-14,7.3,,1.3,6.1,10.1,7.4
217,정선군,2021-03-15,8.8,,2.9,5,11.2,7.1
217,정선군,2021-03-16,11.3,0,3.2,7.5,13.7,9.7
217,정선군,2021-03-17,8,,1.2,8.1,11.8,8.5
217,정선군,2021-03-18,8.7,,1.7,6.7,10.8,9
217,정선군,2021-03-19,11.1,,1.6,7.7,16.2,10.6
217,정선군,2021-03-20,7.6,5.6,1,0,8.8,8.6
217,정선군,2021-03-21,6.1,,3.6,1.3,7.5,7.7
217,정선군,2021-03-22,5.1,,4.1,8.5,6.9,7
217,정선군,2021-03-23,8.1,,4.3,8.9,9.1,7.2
217,정선군,2021-03-24,8.8,,2.3,5,12.4,8.2
217,정선군,2021-03-25,10.5,,1.9,8.8,12.9,9.4
217,정선군,2021-03-26,11,,1.1,7.9,10.7,9.8
217,정선군,2021-03-27,10.1,19.5,.9,.5,10.7,9.4
217,정선군,2021-03-28,10.2,4.3,3.8,0,9.6,9.7
217,정선군,2021-03-29,10.9,0,4.6,7.6,13.7,10.8
217,정선군,2021-03-30,9.1,,1.5,9.3,12.7,10.3
217,정선군,2021-03-31,10.8,,1.4,9.4,14.7,11.1
217,정선군,2021-04-01,11.4,,2.1,8.6,14.2,11.5
217,정선군,2021-04-02,15,,2,9,19,13.2
217,정선군,2021-04-03,11,53.2,1.6,0,11.2,11.9
217,정선군,2021-04-04,6.7,6.4,2.9,0,9.7,9.9
217,정선군,2021-04-05,7.2,,1.5,9,12.2,9.9
217,정선군,2021-04-06,10.5,,2.1,7.5,14.4,11
217,정선군,2021-04-07,11.8,,2.4,8.8,14.6,11.8
217,정선군,2021-04-08,10,,2.2,7.6,13.7,11.9
217,정선군,2021-04-09,7.4,,2.2,5.5,12.9,10.8
217,정선군,2021-04-10,8.7,,1.5,9,13.8,11.3
217,정선군,2021-04-11,12.2,,1.2,9.2,16.3,12.9
217,정선군,2021-04-12,11.5,19.5,1.8,0,13.3,12.4
217,정선군,2021-04-13,12.3,12,3.6,2.9,17.1,13
217,정선군,2021-04-14,8.7,,3,10.1,12.5,12.1
217,정선군,2021-04-15,9.2,,1.7,9.4,14.2,12.1
217,정선군,2021-04-16,8.9,.5,2.6,.8,8.8,10.2
217,정선군,2021-04-17,7.2,0,2.5,5.6,10.5,10.2
217,정선군,2021-04-18,8.8,,2.7,7.5,11.4,10.8
217,정선군,2021-04-19,12.3,,2.9,10.3,14.5,12.5
217,정선군,2021-04-20,16.1,,1.8,10.1,19.5,15
217,정선군,2021-04-21,17.8,,1.1,10,20.8,17
217,정선군,2021-04-22,18,,1.3,2.5,21.7,17.5
217,정선군,2021-04-23,14.3,,1.7,0,14.9,14.9
217,정선군,2021-04-24,15,,1.1,1.4,18.6,15.5
217,정선군,2021-04-25,12,,2.4,8.5,18.7,16.2
217,정선군,2021-04-26,11.7,,1.4,10.4,16.6,15.7
217,정선군,2021-04-27,14.7,,2.9,5.2,20.3,15.9
217,정선군,2021-04-28,15.3,0,3.4,7.5,18.7,17.1
217,정선군,2021-04-29,11,2.9,1.1,1.9,12.5,14.3
217,정선군,2021-04-30,9.9,14.7,1.3,1,16.6,13.5
217,정선군,2021-05-01,8.2,7.2,1.1,0,10.9,12.2
217,정선군,2021-05-02,10.9,1.8,1.5,7.2,16.1,13.8
217,정선군,2021-05-03,12.6,,1.8,9.3,18,15.4
217,정선군,2021-05-04,13.8,5.1,1.8,0,15.6,14.6
217,정선군,2021-05-05,14.2,4,3.7,9.9,19.7,16.5
217,정선군,2021-05-06,13.5,,1.8,4.7,15.6,
217,정선군,2021-05-07,12.4,5,2.4,5.3,18.2,14.5
217,정선군,2021-05-08,14.4,,3.6,9.7,18.7,15.5
