지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s),합계 일조시간(hr),평균 지면온도(°C),평균 5cm 지중온도(°C)
217,정선군,2020-01-01,-3.9,,2.2,6.1,-2.2,-1.3
217,정선군,2020-01-02,-2.1,,2.2,5.9,-1.9,-1.4
217,정선군,2020-01-03,-1.5,,1.7,6.3,-0.7,-0.9
217,정선군,2020-01-04,-2.7,,1.5,6.3,-1.7,-1.3
217,정선군,2020-01-05,-3.1,,0.7,6.3,-1.2,-1.4
217,정선군,2020-01-06,-1,1,0.6,0.3,-1.1,-0.9
217,정선군,2020-01-07,3,60.5,0.6,0,0.7,-0.1
217,정선군,2020-01-08,4.8,7.5,3.7,0,3.1,0.8
217,정선군,2020-01-09,-0.7,,2.2,6.5,1.4,0.5
217,정선군,2020-01-10,-1.8,,1.1,5.8,0.5,0
217,정선군,2020-01-11,-2.2,,1.1,6.5,-0.1,-0.1
217,정선군,2020-01-12,-1.3,,2,6.4,0.3,-0.1
217,정선군,2020-01-13,-2.3,,3.3,6.5,-0.7,-0.2
217,정선군,2020-01-14,-4.3,,1.4,6.5,-1.1,-0.6
217,정선군,2020-01-15,-4.9,,1.2,6.5,-1.5,-1.2
217,정선군,2020-01-16,-5.1,,0.9,6,-1.2,-1.4
217,정선군,2020-01-17,-2.7,,0.8,2.9,-1.6,-1.4
217,정선군,2020-01-18,-0.4,,1.4,4.5,0.9,-0.3
217,정선군,2020-01-19,-0.8,,1.9,1.6,-1.1,-0.6
217,정선군,2020-01-20,0.4,,3.7,6.6,0.1,-0.5
217,정선군,2020-01-21,-2.5,,1,6.8,0.2,-0.8
217,정선군,2020-01-22,0,,0.7,0,-0.5,-0.5
217,정선군,2020-01-23,2.7,,1,6.6,2.5,0.1
217,정선군,2020-01-24,1.1,,1.1,6.8,2.1,0.1
217,정선군,2020-01-25,1.6,,0.7,2,1.4,0.1
217,정선군,2020-01-26,2.5,0.3,1.9,3.9,2.3,0.5
217,정선군,2020-01-27,4,16,3.8,0,1.6,0.6
217,정선군,2020-01-28,4.2,5.5,3.1,1.1,3.1,2.3
217,정선군,2020-01-29,2.2,,1.5,1.5,2,1.8
217,정선군,2020-01-30,,0.1,1.7,2,2.6,
217,정선군,2020-01-31,1.6,0.1,0.9,5.2,2.6,2.4
217,정선군,2020-02-01,0.9,,1.8,6.5,1.4,1.8
217,정선군,2020-02-02,0.5,,1.3,5.9,1.7,1.4
217,정선군,2020-02-03,-0.2,,3.4,7,1.3,1.4
217,정선군,2020-02-04,-1.7,0.1,2.1,7.8,0.2,0.1
217,정선군,2020-02-05,-5.6,,4,7.9,-0.5,-0.1
217,정선군,2020-02-06,-6.1,,1,7.8,-1.2,-0.7
217,정선군,2020-02-07,-3.3,,1.9,7.4,-1,-0.7
217,정선군,2020-02-08,-1.3,,2.1,7.6,0.3,-0.4
217,정선군,2020-02-09,-2.5,,1.7,7.6,0.1,-0.6
217,정선군,2020-02-10,1.1,,1.5,7.3,1.7,0
217,정선군,2020-02-11,1.6,,0.9,7.7,2.1,0.1
217,정선군,2020-02-12,2.6,12.5,0.6,0,2,0.3
217,정선군,2020-02-13,6.3,0.5,1.2,5.1,6.6,5.1
217,정선군,2020-02-14,4.7,,0.8,5,5.9,5.1
217,정선군,2020-02-15,7,0.5,0.9,4.8,6.6,5.8
217,정선군,2020-02-16,0.7,10.5,3.3,0.5,3.5,4.4
217,정선군,2020-02-17,-5.8,0.5,4.6,2.3,-0.2,0.8
217,정선군,2020-02-18,-4.3,,2.2,8.1,-0.4,-0.1
217,정선군,2020-02-19,-0.9,,1.5,8.1,1.7,0.2
217,정선군,2020-02-20,1.4,,0.9,7.6,3.4,2.4
217,정선군,2020-02-21,3.2,,1.7,3.3,2.9,2.7
217,정선군,2020-02-22,4,4,6.5,6.1,3.6,3.3
217,정선군,2020-02-23,1.1,,2.3,8.3,2.9,2.9
217,정선군,2020-02-24,4.7,,1.8,7.6,3.6,3.6
217,정선군,2020-02-25,3.1,32,1.4,0,2,2.7
217,정선군,2020-02-26,4.1,0.5,1.2,0.2,4.3,3.7
217,정선군,2020-02-27,2.5,,1.3,4.8,4.5,4.3
217,정선군,2020-02-28,1.2,1,1.7,0,2,2.2
217,정선군,2020-02-29,5.9,,1.3,7.2,7.4,6
217,정선군,2020-03-01,5.6,0.1,1.6,0.8,5.9,5.6
217,정선군,2020-03-02,3.7,0.5,2.2,8.3,6,6.2
217,정선군,2020-03-03,4.4,0.4,1.3,6.1,4.3,5
217,정선군,2020-03-04,2.4,0.5,5.7,6.3,4.3,5.1
217,정선군,2020-03-05,0.4,,1.8,8.2,3.1,3.7
217,정선군,2020-03-06,1.5,,1.1,8.6,2.9,3.7
217,정선군,2020-03-07,4,,1.2,5.1,4.5,4.5
217,정선군,2020-03-08,6.2,,1,6.9,6.8,6.5
217,정선군,2020-03-09,8.3,,1.2,7.6,7.7,7.1
217,정선군,2020-03-10,7.2,10.5,1.8,0,8,7.7
217,정선군,2020-03-11,3.2,,4.4,8.7,4.7,5.7
217,정선군,2020-03-12,5.7,,2.9,8.7,5.5,5.7
217,정선군,2020-03-13,6.4,,2.6,6,6,6.8
217,정선군,2020-03-14,3.2,,3.7,8.8,4.4,5.2
217,정선군,2020-03-15,2.7,0.5,4.5,4.2,3.6,4.5
217,정선군,2020-03-16,2.9,0.1,1.9,7.5,5.5,5.5
217,정선군,2020-03-17,2.2,0.5,2.8,0,1.7,3.2
217,정선군,2020-03-18,5.7,,1.7,6.5,7.1,6
217,정선군,2020-03-19,4.3,0.5,6.4,3.5,4,4.5
217,정선군,2020-03-20,8.3,,4,9,7.2,6.5
217,정선군,2020-03-21,12.3,1.5,2.8,8.3,11.4,9.6
217,정선군,2020-03-22,11.6,,2.9,8.6,13.1,11.8
217,정선군,2020-03-23,6.4,,2.3,9.1,9.4,9.2
217,정선군,2020-03-24,7,,1.4,9.1,10.4,9.5
217,정선군,2020-03-25,10,,1.2,8.8,11.8,10.6
217,정선군,2020-03-26,12.9,2.5,1.5,7.4,13.9,12.5
217,정선군,2020-03-27,9.9,6.5,1.2,0,11.2,11.7
217,정선군,2020-03-28,6.2,,1.7,7.8,10.3,9.9
217,정선군,2020-03-29,5.8,,1.3,8.4,9.9,9
217,정선군,2020-03-30,8.3,,1.2,8,12,11
217,정선군,2020-03-31,10,,1.2,9.1,12.2,11.5
217,정선군,2020-04-01,8.1,6,2,3.4,11.5,11
217,정선군,2020-04-02,8.3,,2.3,6.6,10.8,10.6
217,정선군,2020-04-03,9,,3.1,9.6,11.6,10.8
217,정선군,2020-04-04,6.5,,2.3,6.5,9.2,9.4
217,정선군,2020-04-05,5.4,,1.7,9.6,10,9.2
217,정선군,2020-04-06,7.9,,2,9.6,11.4,10.1
217,정선군,2020-04-07,10.6,,2.8,9.2,12.4,11.4
217,정선군,2020-04-08,7.4,,3,9.5,11.8,11.1
217,정선군,2020-04-09,6.2,,1.9,9.1,11.5,10.5
217,정선군,2020-04-10,7.6,,1.3,7,11.3,10.8
217,정선군,2020-04-11,8.2,,1.5,5.2,10.4,10.4
217,정선군,2020-04-12,4.6,10.5,1.9,2,7.8,8.3
217,정선군,2020-04-13,6.9,0,2.4,6.6,8.5,8.9
217,정선군,2020-04-14,9.4,,2.1,10.1,12.1,10.5
217,정선군,2020-04-15,11.1,,1.5,9.4,13.4,12.5
217,정선군,2020-04-16,11.5,,1.8,9.6,15.3,13.9
217,정선군,2020-04-17,9.3,5.5,1.5,0.8,11.4,11.5
217,정선군,2020-04-18,9.9,0.5,1.2,3.9,12.6,11.3
217,정선군,2020-04-19,8.4,10.5,1.3,0,9.9,9.9
217,정선군,2020-04-20,9.3,0.3,3.6,0.6,9.8,10.1
217,정선군,2020-04-21,6.4,,6.5,8.8,9,9.1
217,정선군,2020-04-22,5.1,,7.3,8.8,7,7.7
