일자,광역산지,도매가격(원/kg),거래량(톤),거래금액(백만원)
2021-08-26,미분류,"8,000",0.05,0.4
2021-08-26,충남,"6,900",0.02,0.14
2021-08-26,서울,"8,497",0.01,0.08
2021-08-26,경남,"8,392",0.26,2.14
2021-08-26,전남,"8,460",0.1,0.85
2021-08-26,광주,"5,790",0.005,0.03
2021-08-26,광주,"2,042",0.13,0.27
2021-08-26,미분류,"7,259",0.56,4.07
2021-08-26,대구,454,560,254.06
2021-08-26,경북,437,210,91.85
2021-08-26,경남,355,40,14.2
2021-08-26,경기,"10,464",0.03,0.35
2021-08-26,충남,"2,600",0.005,0.01
2021-08-26,경북,"1,680",0.08,0.13
2021-08-26,경남,"4,750",0.08,0.38
2021-08-26,경북,"5,811",0.04,0.22
2021-08-26,서울,"7,446",0.006,0.04
2021-08-26,경남,"5,130",0.09,0.48
2021-08-26,경남,"4,450",0.05,0.22
2021-08-26,경북,"21,820",0.03,0.55
2021-08-26,경북,"13,400",0.03,0.43
2021-08-26,경북,200,6,1.2
2021-08-26,수입,"3,500",0.12,0.42
2021-08-26,수입,"3,500",0.16,0.56
2021-08-26,충남,"3,875",0.02,0.09
2021-08-26,충북,"2,625",0.08,0.21
2021-08-26,경북,"5,300",0.04,0.21
2021-08-26,전남,"4,100",0.04,0.16
2021-08-26,서울,"4,900",0.01,0.06
2021-08-26,경북,"7,933",0.009,0.07
2021-08-26,대전,"1,800",0.1,0.18
2021-08-26,충남,"2,567",0.34,0.86
2021-08-26,전북,"5,083",0.21,1.07
2021-08-26,충남,"3,150",0.09,0.28
2021-08-26,경북,"2,716",0.84,2.27
2021-08-26,경북,"3,155",0.06,0.17
2021-08-26,경기,"3,375",0.02,0.08
2021-08-26,수입,"1,500",0.17,0.25
2021-08-26,수입,"3,379",0.39,1.32
2021-08-26,수입,"2,750",1.08,2.97
2021-08-26,수입,"3,500",0.03,0.11
2021-08-26,경기,"1,875",0.02,0.03
2021-08-26,서울,"3,518",0.14,0.51
2021-08-26,수입,"3,500",0.04,0.14
2021-08-26,부산,"3,500",0.34,1.2
2021-08-26,부산,"3,500",0.13,0.45
2021-08-26,수입,"1,400",0.2,0.28
2021-08-26,수입,"2,000",0.2,0.4
2021-08-26,인천,"2,800",0.8,2.24
