"","지점","지점명","일자","평균기온..C.","최저기온..C.","최저기온.시각.hhmi.","최고기온..C.","최고기온.시각.hhmi.","강수.계속시간.hr.","X10분.최다.강수량.mm.","X10분.최다강수량.시각.hhmi.","X1시간.최다강수량.mm.","X1시간.최다.강수량.시각.hhmi.","일강수량.mm.","최대.순간.풍속.m.s.","최대.순간.풍속.풍향.16방위.","최대.순간풍속.시각.hhmi.","최대.풍속.m.s.","최대.풍속.풍향.16방위.","최대.풍속.시각.hhmi.","평균.풍속.m.s.","풍정합.100m.","최다풍향.16방위.","평균.이슬점온도..C.","최소.상대습도...","최소.상대습도.시각.hhmi.","평균.상대습도...","평균.증기압.hPa.","평균.현지기압.hPa.","최고.해면기압.hPa.","최고.해면기압.시각.hhmi.","최저.해면기압.hPa.","최저.해면기압.시각.hhmi.","평균.해면기압.hPa.","가조시간.hr.","합계.일조시간.hr.","X1시간.최다일사.시각.hhmi.","X1시간.최다일사량.MJ.m2.","합계.일사량.MJ.m2.","일.최심신적설.cm.","일.최심신적설.시각.hhmi.","일.최심적설.cm.","일.최심적설.시각.hhmi.","합계.3시간.신적설.cm.","평균.전운량.1.10.","평균.중하층운량.1.10.","평균.지면온도..C.","최저.초상온도..C.","평균.5cm.지중온도..C.","평균.10cm.지중온도..C.","평균.20cm.지중온도..C.","평균.30cm.지중온도..C.","X0.5m.지중온도..C.","X1.0m.지중온도..C.","X1.5m.지중온도..C.","X3.0m.지중온도..C.","X5.0m.지중온도..C.","합계.대형증발량.mm.","합계.소형증발량.mm.","X9.9강수.mm.","기사","안개.계속시간.hr."
"1",217,"정선","2014-01-01",3.3,-1.3,649,5.1,1654,NA,NA,NA,NA,NA,0,22.6,360,2024,13.4,20,2031,5.9,5085,20,-8.6,27,1836,41.6,3.3,975,1015.3,2356,1009.6,1,1012.5,9.6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.5,-6.2,-0.2,-0.2,-0.1,0,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
"2",217,"정선","2014-01-02",-0.5,-4.8,2353,5.7,1310,NA,NA,NA,NA,NA,NA,9.9,340,1334,6.6,20,1434,1.7,1504,360,-10.9,18,1342,49.3,2.7,982.7,1023.2,2333,1015.2,2,1021,9.7,6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.8,-8.4,-0.2,-0.3,-0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
"3",217,"정선","2014-01-03",-0.3,-6.2,245,7.1,1431,NA,NA,NA,NA,NA,NA,9.1,20,1639,5.2,20,1650,1.3,1098,340,-8.3,23,1423,58.8,3.3,979.8,1022.8,1,1013.6,1504,1018,9.7,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.8,-9.2,-0.8,-0.8,-0.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
"4",217,"정선","2014-01-04",-1.3,-5.2,605,2.9,1423,NA,NA,NA,NA,NA,0,6.8,70,1221,2.9,140,1442,0.7,586,140,-5,57,1425,76,4.2,981.7,1021.6,2238,1017.7,1,1020.1,9.7,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.1,-9.6,-0.5,-0.5,-0.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
"5",217,"정선","2014-01-05",-0.6,-4.7,2351,4.9,1448,NA,NA,NA,NA,NA,0,7.7,320,1604,5.1,20,1615,0.9,799,340,-6.2,31,1502,69.4,3.9,984.9,1027.3,2353,1020.4,1339,1023.4,9.7,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,-9.9,-0.1,-0.1,0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
"6",217,"정선","2014-01-06",-3.6,-8.4,811,5.3,1429,NA,NA,NA,NA,NA,NA,4.1,200,1402,2.2,360,1234,0.5,467,180,-9.9,26,1451,65,2.9,990.3,1032.2,949,1026.6,1449,1029.4,9.7,6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.6,-12.4,-0.8,-0.7,-0.1,0.3,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
"7",217,"정선","2014-01-07",-2.5,-8.4,617,3.8,1439,NA,NA,NA,NA,NA,NA,7.8,340,2021,3.2,200,1407,0.8,676,340,-7.1,49,1258,71.4,3.7,987.7,1030.4,255,1023.4,1432,1026.5,9.7,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.4,-12.2,-1.3,-1.2,-0.4,0.2,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
"8",217,"정선","2014-01-08",-0.2,-3.5,333,4.2,1449,NA,NA,NA,NA,NA,NA,10,360,2354,6.2,360,2357,1.3,1123,200,-6.3,41,2340,65,3.9,981.6,1024.5,3,1015.8,1456,1019.8,9.7,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.9,-7,-0.5,-0.5,-0.2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
"9",217,"정선","2014-01-09",-6.8,-10.8,2357,-1.7,1,NA,NA,NA,NA,NA,NA,12.5,20,1355,7.7,20,1423,3,2562,20,-21.7,13,1336,32.3,1.2,987.1,1031.3,2347,1019.5,1,1026.5,9.8,6.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.7,-14.3,-2,-1.7,-0.6,0.1,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
"10",217,"정선","2014-01-10",-6.9,-12.8,743,-0.8,1508,NA,NA,NA,NA,NA,NA,12.2,20,1601,8.1,360,1559,1.9,1668,20,-17.3,29,1323,44.1,1.7,991.8,1033.7,827,1028.8,1429,1031.4,9.8,6.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.7,-17.1,-3.2,-3.1,-1.9,-0.6,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
"11",217,"정선","2014-01-11",-4,-9.1,753,1.4,1428,NA,NA,NA,NA,NA,0,12.7,20,1517,8.3,20,1520,1.3,1164,180,-13.4,23,1501,51.5,2.2,992,1034.6,908,1029.1,1507,1031.3,9.8,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.1,-13.8,-2.5,-2.4,-1.6,-0.8,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
"12",217,"정선","2014-01-12",-1.9,-7.7,2350,1.8,1236,NA,NA,NA,NA,NA,NA,14.6,20,1527,9.1,20,1614,2.4,2055,20,-12.7,22,2006,45.3,2.4,988.1,1029.3,2347,1023.9,1407,1026.8,9.8,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.8,-13.3,-1.8,-1.7,-1.2,-0.7,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
"13",217,"정선","2014-01-13",-7.7,-12.7,712,0.2,1518,NA,NA,NA,NA,NA,NA,5.7,230,1307,3.4,200,1308,0.9,739,180,-17.8,17,1438,48.9,1.5,992.2,1034.7,911,1028.7,1429,1032.1,9.8,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.1,-18.8,-3.2,-3.1,-2.1,-1.1,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
"14",217,"정선","2014-01-14",-7.5,-14.3,759,1.9,1520,NA,NA,NA,NA,NA,NA,8.5,360,1554,5.5,20,1624,1.1,958,160,-17.6,18,1520,48.8,1.5,993.7,1036.7,824,1029.8,1428,1033.5,9.9,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.3,-19,-3.7,-3.6,-2.6,-1.6,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
"15",217,"정선","2014-01-15",-6.4,-13.5,800,2.1,1530,NA,NA,NA,NA,NA,NA,9.5,50,1705,6,360,1653,1.3,1160,180,-15.8,22,1531,51.9,1.8,993.3,1036.1,807,1029.8,1444,1032.9,9.9,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.9,-18.4,-3.5,-3.4,-2.6,-1.7,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
"16",217,"정선","2014-01-16",-4.3,-12.1,723,1.9,1419,NA,NA,NA,NA,NA,NA,6.2,230,1313,3.5,360,1211,1,844,180,-10.7,41,1253,62.6,2.8,990.9,1034.3,824,1026.8,1417,1030.1,9.9,5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.6,-17.3,-3,-3,-2.4,-1.7,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
"17",217,"정선","2014-01-17",-3.7,-8.4,757,2.7,1403,NA,NA,NA,NA,NA,NA,5.6,160,1254,2.6,20,1142,0.7,565,320,-8.9,38,1446,68.4,3.1,988,1030,932,1024.4,1525,1027.1,9.9,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.1,-14.2,-2.1,-2,-1.5,-1.2,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
"18",217,"정선","2014-01-18",-3.5,-8.7,2356,0.2,1507,NA,NA,NA,NA,NA,NA,12.6,360,1222,6.8,360,908,2.4,2052,20,-13.2,27,1644,49.1,2.3,987.2,1031.1,2347,1023.1,1455,1026.1,9.9,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.1,-14.3,-2.4,-2.3,-1.6,-1.2,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
"19",217,"정선","2014-01-19",-5.3,-13,739,2.6,1513,NA,NA,NA,NA,NA,NA,6.6,360,1644,4.7,340,2134,1.3,1165,180,-15.7,18,1441,49.5,1.8,990.1,1035.6,855,1025.2,2333,1029.5,10,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.6,-17.5,-3.1,-3,-2.4,-1.7,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
"20",217,"정선","2014-01-20",-2.4,-5.1,611,1.1,1446,NA,NA,NA,NA,NA,1.5,10.9,20,2352,6.8,20,2359,1.6,1423,340,-6.2,48,4,75.6,3.9,980.8,1025.2,1,1016.2,1448,1019.3,10,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.4,-7.4,-1.6,-1.6,-1.3,-1.1,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
"21",217,"정선","2014-01-21",-4.7,-6.3,750,-2.6,1,NA,NA,NA,NA,NA,0,8.6,360,5,6.3,20,2,2,1721,360,-9.6,56,35,68.5,2.9,985.2,1028.2,2220,1019.8,1,1024.3,10,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.6,-10.2,-1.1,-1,-0.8,-0.8,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
"22",217,"정선","2014-01-22",-5.6,-9.8,814,-0.2,1504,NA,NA,NA,NA,NA,NA,10.8,50,25,5.9,20,1538,2.1,1798,180,-12.6,29,1541,59.8,2.3,989.4,1031.2,2337,1026,1506,1028.8,10,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.2,-12.8,-1.6,-1.5,-0.9,-0.7,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
"23",217,"정선","2014-01-23",-5.3,-13,740,4.7,1445,NA,NA,NA,NA,NA,NA,5.8,340,1159,4.5,340,2200,1.4,1177,340,-10.8,34,1512,67.6,2.8,988.7,1032.5,757,1023.8,1510,1028,10.1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.6,-16.7,-2.8,-2.8,-2.1,-1.4,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
"24",217,"정선","2014-01-24",-0.4,-8.5,525,4.9,1542,NA,NA,NA,NA,NA,NA,9.1,20,1721,5.9,340,828,2.4,2111,340,-4.9,57,1436,72.6,4.4,984.1,1026.3,653,1019,2354,1022.4,10.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.7,-12,-2.1,-2.1,-1.7,-1.3,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
"25",217,"정선","2014-01-25",2.6,-0.2,2400,7.9,1319,NA,NA,NA,NA,NA,5,13,20,1357,8.4,20,1357,1.3,1128,320,1.5,71,1411,93.3,6.8,978.7,1019.4,226,1011.9,1344,1016.4,10.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,-3.9,-0.1,-0.1,-0.3,-0.5,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
